participant_id,age_range,education_profile,probability_familiarity,participant_created_at,finalized_at,question_id,condition,block,position,answer_index,correct,latency_seconds,response_created_at
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q01,A,1,0,3,1,23.672,2026-06-01T00:05:26.671781+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q08,A,1,1,1,0,28.693,2026-06-01T00:05:58.365252+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q07,A,1,2,2,0,25.277,2026-06-01T00:06:26.642581+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q10,A,1,3,1,1,21.391,2026-06-01T00:06:51.033553+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q09,A,1,4,1,0,20.973,2026-06-01T00:07:15.006246+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q04,A,1,5,2,1,24.224,2026-06-01T00:07:42.229824+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q06,A,1,6,2,0,30.135,2026-06-01T00:08:15.364498+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q03,A,1,7,3,1,23.521,2026-06-01T00:08:41.885537+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q05,A,1,8,2,1,26.535,2026-06-01T00:09:11.420402+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q02,A,1,9,2,0,33.995,2026-06-01T00:09:48.415322+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q04,B,2,0,1,1,16.537,2026-06-01T00:10:07.952501+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q08,B,2,1,2,0,23.122,2026-06-01T00:10:34.074169+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q07,B,2,2,2,0,22.281,2026-06-01T00:10:59.355417+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q05,B,2,3,3,1,20.975,2026-06-01T00:11:23.330495+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q09,B,2,4,1,1,23.66,2026-06-01T00:11:49.990496+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q01,B,2,5,3,1,22.851,2026-06-01T00:12:15.841933+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q06,B,2,6,3,1,22.651,2026-06-01T00:12:41.493344+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q02,B,2,7,2,1,18.657,2026-06-01T00:13:03.150725+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q10,B,2,8,2,1,18.844,2026-06-01T00:13:24.995128+00:00
1,18-24,Mixto,4,2026-06-01T00:05:00+00:00,2026-06-01T00:17:00+00:00,q03,B,2,9,3,1,16.364,2026-06-01T00:13:44.358637+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q01,B,1,0,1,1,18.058,2026-06-01T00:10:21.058122+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q02,B,1,1,1,1,14.642,2026-06-01T00:10:38.700239+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q09,B,1,2,3,1,16.138,2026-06-01T00:10:57.838539+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q05,B,1,3,1,1,22.9,2026-06-01T00:11:23.738577+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q03,B,1,4,1,1,20.666,2026-06-01T00:11:47.404444+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q07,B,1,5,1,1,21.918,2026-06-01T00:12:12.322900+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q04,B,1,6,3,1,18.475,2026-06-01T00:12:33.798074+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q06,B,1,7,2,1,22.045,2026-06-01T00:12:58.843358+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q10,B,1,8,1,1,20.052,2026-06-01T00:13:21.895833+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q08,B,1,9,2,1,22.795,2026-06-01T00:13:47.690450+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q07,A,2,0,0,0,20.812,2026-06-01T00:14:11.502013+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q09,A,2,1,3,1,21.197,2026-06-01T00:14:35.699001+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q04,A,2,2,3,0,23.504,2026-06-01T00:15:02.202692+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q06,A,2,3,0,1,21.079,2026-06-01T00:15:26.281498+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q02,A,2,4,0,1,23.576,2026-06-01T00:15:52.857559+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q10,A,2,5,3,1,17.745,2026-06-01T00:16:13.602813+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q05,A,2,6,2,0,22.505,2026-06-01T00:16:39.107383+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q01,A,2,7,2,0,25.303,2026-06-01T00:17:07.410327+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q03,A,2,8,1,1,25.092,2026-06-01T00:17:35.502106+00:00
2,35-44,Humanistico,4,2026-06-01T00:10:00+00:00,2026-06-01T00:22:00+00:00,q08,A,2,9,3,1,23.995,2026-06-01T00:18:02.496812+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q07,A,1,0,3,1,23.363,2026-06-01T00:15:26.362799+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q03,A,1,1,0,1,27.668,2026-06-01T00:15:57.030433+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q08,A,1,2,3,0,20.735,2026-06-01T00:16:20.765001+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q06,A,1,3,2,1,28.52,2026-06-01T00:16:52.285133+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q04,A,1,4,1,1,26.741,2026-06-01T00:17:22.025653+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q05,A,1,5,3,1,16.045,2026-06-01T00:17:41.071059+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q02,A,1,6,1,1,23.255,2026-06-01T00:18:07.326559+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q10,A,1,7,0,0,24.409,2026-06-01T00:18:34.735237+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q09,A,1,8,3,1,24.334,2026-06-01T00:19:02.068971+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q01,A,1,9,0,0,17.966,2026-06-01T00:19:23.035303+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q04,B,2,0,2,0,28.94,2026-06-01T00:19:54.974876+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q08,B,2,1,0,1,23.522,2026-06-01T00:20:21.496531+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q06,B,2,2,3,1,21.617,2026-06-01T00:20:46.113325+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q10,B,2,3,0,0,19.829,2026-06-01T00:21:08.942122+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q02,B,2,4,0,1,18.089,2026-06-01T00:21:30.031191+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q05,B,2,5,0,0,14.633,2026-06-01T00:21:47.663853+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q09,B,2,6,2,0,20.672,2026-06-01T00:22:11.335818+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q03,B,2,7,0,1,21.2,2026-06-01T00:22:35.536288+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q07,B,2,8,3,1,18.274,2026-06-01T00:22:56.810394+00:00
3,35-44,Mixto,1,2026-06-01T00:15:00+00:00,2026-06-01T00:27:00+00:00,q01,B,2,9,1,1,21.801,2026-06-01T00:23:21.611171+00:00
4,25-34,Humanistico,5,2026-06-01T00:20:00+00:00,2026-06-01T00:32:00+00:00,q05,B,1,0,3,1,25.903,2026-06-01T00:20:28.902604+00:00
4,25-34,Humanistico,5,2026-06-01T00:20:00+00:00,2026-06-01T00:32:00+00:00,q07,B,1,1,3,1,18.343,2026-06-01T00:20:50.245262+00:00
4,25-34,Humanistico,5,2026-06-01T00:20:00+00:00,2026-06-01T00:32:00+00:00,q04,B,1,2,0,1,19.314,2026-06-01T00:21:12.558802+00:00
4,25-34,Humanistico,5,2026-06-01T00:20:00+00:00,2026-06-01T00:32:00+00:00,q10,B,1,3,0,1,20.38,2026-06-01T00:21:35.939259+00:00
